n, comp,tempo
0,466347,0.0012070
5,999,0.0000090
10,999,0.0000080
15,999,0.0000080
20,999,0.0000090
25,999,0.0000090
30,999,0.0000110
35,999,0.0000080
40,999,0.0000090
45,999,0.0000080
50,999,0.0000090
55,999,0.0000090
60,999,0.0000100
65,999,0.0000100
70,999,0.0000110
75,999,0.0000090
80,999,0.0000090
85,999,0.0000090
90,999,0.0000100
95,999,0.0000100
100,999,0.0000090
105,999,0.0000260
110,999,0.0000090
115,999,0.0000090
120,999,0.0000080
125,999,0.0000090
130,999,0.0000090
135,999,0.0000090
140,999,0.0000100
145,999,0.0000080
150,999,0.0000090
155,999,0.0000090
160,999,0.0000090
165,999,0.0000090
170,999,0.0000080
175,999,0.0000090
180,999,0.0000090
185,999,0.0000080
190,999,0.0000080
195,999,0.0000090
200,999,0.0000090
205,999,0.0000090
210,999,0.0000090
215,999,0.0000090
220,999,0.0000090
225,999,0.0000090
230,999,0.0000100
235,999,0.0000090
240,999,0.0000090
245,999,0.0000090
250,999,0.0000090
255,999,0.0000080
260,999,0.0000090
265,999,0.0000080
270,999,0.0000090
275,999,0.0000090
280,999,0.0000080
285,999,0.0000090
290,999,0.0000090
295,999,0.0000090
300,999,0.0000090
305,999,0.0000090
310,999,0.0000090
315,999,0.0000100
320,999,0.0000090
325,999,0.0000090
330,999,0.0000090
335,999,0.0000090
340,999,0.0000080
345,999,0.0000090
350,999,0.0000090
355,999,0.0000080
360,999,0.0000090
365,999,0.0000080
370,999,0.0000080
375,999,0.0000100
380,999,0.0000110
385,999,0.0000090
390,999,0.0000090
395,999,0.0000090
400,999,0.0000090
405,999,0.0000090
410,999,0.0000100
415,999,0.0000090
420,999,0.0000130
425,999,0.0000090
430,999,0.0000120
435,999,0.0000110
440,999,0.0000090
445,999,0.0000090
450,999,0.0000100
455,999,0.0000110
460,999,0.0000120
465,999,0.0000110
470,999,0.0000090
475,999,0.0000100
480,999,0.0000090
485,999,0.0000080
490,999,0.0000080
495,999,0.0000090
500,999,0.0000090
505,999,0.0000090
510,999,0.0000090
515,999,0.0000080
520,999,0.0000090
525,999,0.0000100
530,999,0.0000090
535,999,0.0000130
540,999,0.0000100
545,999,0.0000100
550,999,0.0000100
555,999,0.0000110
560,999,0.0000100
565,999,0.0000100
570,999,0.0000100
575,999,0.0000090
580,999,0.0000090
585,999,0.0000100
590,999,0.0000100
595,999,0.0000090
600,999,0.0000090
605,999,0.0000090
610,999,0.0000090
615,999,0.0000080
620,999,0.0000100
625,999,0.0000090
630,999,0.0000090
635,999,0.0000090
640,999,0.0000090
645,999,0.0000090
650,999,0.0000090
655,999,0.0000120
660,999,0.0000090
665,999,0.0000090
670,999,0.0000100
675,999,0.0000100
680,999,0.0000100
685,999,0.0000120
690,999,0.0000100
695,999,0.0000080
700,999,0.0000090
705,999,0.0000090
710,999,0.0000090
715,999,0.0000090
720,999,0.0000100
725,999,0.0000110
730,999,0.0000080
735,999,0.0000090
740,999,0.0000090
745,999,0.0000100
750,999,0.0000090
755,999,0.0000100
760,999,0.0000090
765,999,0.0000110
770,999,0.0000090
775,999,0.0000100
780,999,0.0000100
785,999,0.0000100
790,999,0.0000100
795,999,0.0000100
800,999,0.0000090
805,999,0.0000140
810,999,0.0000100
815,999,0.0000080
820,999,0.0000080
825,999,0.0000080
830,999,0.0000090
835,999,0.0000090
840,999,0.0000090
845,999,0.0000130
850,999,0.0000120
855,999,0.0000110
860,999,0.0000090
865,999,0.0000090
870,999,0.0000080
875,999,0.0000100
880,999,0.0000110
885,999,0.0000090
890,999,0.0000080
895,999,0.0000060
900,999,0.0000070
905,999,0.0000060
910,999,0.0000060
915,999,0.0000060
920,999,0.0000060
925,999,0.0000070
930,999,0.0000070
935,999,0.0000060
940,999,0.0000070
945,999,0.0000060
950,999,0.0000060
955,999,0.0000060
960,999,0.0000070
965,999,0.0000060
970,999,0.0000060
975,999,0.0000070
980,999,0.0000060
985,999,0.0000060
990,999,0.0000060
995,999,0.0000060
