n, comp,tempo
0,13117,0.0000460
5,999,0.0000090
10,999,0.0000090
15,999,0.0000100
20,999,0.0000090
25,999,0.0000090
30,999,0.0000090
35,999,0.0000090
40,999,0.0000140
45,999,0.0000090
50,999,0.0000090
55,999,0.0000090
60,999,0.0000090
65,999,0.0000090
70,999,0.0000100
75,999,0.0000090
80,999,0.0000090
85,999,0.0000110
90,999,0.0000090
95,999,0.0000100
100,999,0.0000100
105,999,0.0000100
110,999,0.0000100
115,999,0.0000200
120,999,0.0000110
125,999,0.0000090
130,999,0.0000090
135,999,0.0000090
140,999,0.0000100
145,999,0.0000090
150,999,0.0000100
155,999,0.0000090
160,999,0.0000100
165,999,0.0000100
170,999,0.0000100
175,999,0.0000090
180,999,0.0000100
185,999,0.0000100
190,999,0.0000090
195,999,0.0000100
200,999,0.0000090
205,999,0.0000090
210,999,0.0000100
215,999,0.0000090
220,999,0.0000090
225,999,0.0000090
230,999,0.0000090
235,999,0.0000090
240,999,0.0000100
245,999,0.0000090
250,999,0.0000090
255,999,0.0000100
260,999,0.0000090
265,999,0.0000090
270,999,0.0000100
275,999,0.0000100
280,999,0.0000100
285,999,0.0000100
290,999,0.0000090
295,999,0.0000100
300,999,0.0000110
305,999,0.0000100
310,999,0.0000090
315,999,0.0000090
320,999,0.0000090
325,999,0.0000090
330,999,0.0000090
335,999,0.0000090
340,999,0.0000080
345,999,0.0000090
350,999,0.0000090
355,999,0.0000090
360,999,0.0000090
365,999,0.0000110
370,999,0.0000080
375,999,0.0000090
380,999,0.0000080
385,999,0.0000090
390,999,0.0000090
395,999,0.0000090
400,999,0.0000090
405,999,0.0000090
410,999,0.0000090
415,999,0.0000090
420,999,0.0000090
425,999,0.0000090
430,999,0.0000090
435,999,0.0000090
440,999,0.0000090
445,999,0.0000090
450,999,0.0000090
455,999,0.0000090
460,999,0.0000080
465,999,0.0000090
470,999,0.0000080
475,999,0.0000090
480,999,0.0000070
485,999,0.0000080
490,999,0.0000080
495,999,0.0000090
500,999,0.0000100
505,999,0.0000090
510,999,0.0000090
515,999,0.0000090
520,999,0.0000080
525,999,0.0000080
530,999,0.0000090
535,999,0.0000090
540,999,0.0000080
545,999,0.0000090
550,999,0.0000080
555,999,0.0000080
560,999,0.0000080
565,999,0.0000090
570,999,0.0000080
575,999,0.0000080
580,999,0.0000080
585,999,0.0000090
590,999,0.0000090
595,999,0.0000090
600,999,0.0000090
605,999,0.0000090
610,999,0.0000100
615,999,0.0000090
620,999,0.0000090
625,999,0.0000180
630,999,0.0000090
635,999,0.0000090
640,999,0.0000090
645,999,0.0000100
650,999,0.0000100
655,999,0.0000090
660,999,0.0000100
665,999,0.0000090
670,999,0.0000110
675,999,0.0000120
680,999,0.0000110
685,999,0.0000120
690,999,0.0000110
695,999,0.0000110
700,999,0.0000090
705,999,0.0000080
710,999,0.0000090
715,999,0.0000110
720,999,0.0000110
725,999,0.0000090
730,999,0.0000120
735,999,0.0000090
740,999,0.0000090
745,999,0.0000100
750,999,0.0000090
755,999,0.0000080
760,999,0.0000080
765,999,0.0000100
770,999,0.0000080
775,999,0.0000090
780,999,0.0000090
785,999,0.0000090
790,999,0.0000080
795,999,0.0000080
800,999,0.0000090
805,999,0.0000100
810,999,0.0000080
815,999,0.0000080
820,999,0.0000090
825,999,0.0000090
830,999,0.0000090
835,999,0.0000090
840,999,0.0000080
845,999,0.0000090
850,999,0.0000090
855,999,0.0000080
860,999,0.0000090
865,999,0.0000080
870,999,0.0000090
875,999,0.0000090
880,999,0.0000090
885,999,0.0000080
890,999,0.0000090
895,999,0.0000090
900,999,0.0000090
905,999,0.0000090
910,999,0.0000100
915,999,0.0000090
920,999,0.0000090
925,999,0.0000090
930,999,0.0000080
935,999,0.0000100
940,999,0.0000170
945,999,0.0000090
950,999,0.0000110
955,999,0.0000110
960,999,0.0000100
965,999,0.0000100
970,999,0.0000100
975,999,0.0000100
980,999,0.0000090
985,999,0.0000090
990,999,0.0000090
995,999,0.0000100
