n, comp,tempo
0,466347,0.0010040
5,999,0.0000160
10,999,0.0000100
15,999,0.0000100
20,999,0.0000100
25,999,0.0000090
30,999,0.0000150
35,999,0.0000110
40,999,0.0000150
45,999,0.0000130
50,999,0.0000090
55,999,0.0000060
60,999,0.0000060
65,999,0.0000080
70,999,0.0000070
75,999,0.0000090
80,999,0.0000070
85,999,0.0000080
90,999,0.0000080
95,999,0.0000090
100,999,0.0000090
105,999,0.0000080
110,999,0.0000070
115,999,0.0000090
120,999,0.0000090
125,999,0.0000080
130,999,0.0000090
135,999,0.0000100
140,999,0.0000100
145,999,0.0000110
150,999,0.0000100
155,999,0.0000100
160,999,0.0000090
165,999,0.0000090
170,999,0.0000080
175,999,0.0000100
180,999,0.0000080
185,999,0.0000150
190,999,0.0000090
195,999,0.0000090
200,999,0.0000390
205,999,0.0000090
210,999,0.0000100
215,999,0.0000100
220,999,0.0000090
225,999,0.0000090
230,999,0.0000090
235,999,0.0000090
240,999,0.0000090
245,999,0.0000090
250,999,0.0000110
255,999,0.0000100
260,999,0.0000080
265,999,0.0000100
270,999,0.0000120
275,999,0.0000100
280,999,0.0000070
285,999,0.0000070
290,999,0.0000070
295,999,0.0000080
300,999,0.0000070
305,999,0.0000070
310,999,0.0000070
315,999,0.0000070
320,999,0.0000070
325,999,0.0000060
330,999,0.0000060
335,999,0.0000060
340,999,0.0000060
345,999,0.0000070
350,999,0.0000070
355,999,0.0000060
360,999,0.0000060
365,999,0.0000060
370,999,0.0000060
375,999,0.0000110
380,999,0.0000090
385,999,0.0000090
390,999,0.0000090
395,999,0.0000100
400,999,0.0000090
405,999,0.0000090
410,999,0.0000090
415,999,0.0000130
420,999,0.0000090
425,999,0.0000090
430,999,0.0000090
435,999,0.0000090
440,999,0.0000100
445,999,0.0000090
450,999,0.0000090
455,999,0.0000090
460,999,0.0000090
465,999,0.0000090
470,999,0.0000090
475,999,0.0000090
480,999,0.0000080
485,999,0.0000090
490,999,0.0000090
495,999,0.0000110
500,999,0.0000090
505,999,0.0000090
510,999,0.0000090
515,999,0.0000090
520,999,0.0000090
525,999,0.0000100
530,999,0.0000090
535,999,0.0000090
540,999,0.0000080
545,999,0.0000090
550,999,0.0000090
555,999,0.0000090
560,999,0.0000080
565,999,0.0000090
570,999,0.0000100
575,999,0.0000080
580,999,0.0000080
585,999,0.0000090
590,999,0.0000090
595,999,0.0000090
600,999,0.0000090
605,999,0.0000080
610,999,0.0000090
615,999,0.0000090
620,999,0.0000110
625,999,0.0000120
630,999,0.0000090
635,999,0.0000090
640,999,0.0000090
645,999,0.0000090
650,999,0.0000090
655,999,0.0000090
660,999,0.0000090
665,999,0.0000100
670,999,0.0000090
675,999,0.0000100
680,999,0.0000090
685,999,0.0000100
690,999,0.0000100
695,999,0.0000080
700,999,0.0000090
705,999,0.0000090
710,999,0.0000090
715,999,0.0000090
720,999,0.0000080
725,999,0.0000090
730,999,0.0000090
735,999,0.0000100
740,999,0.0000090
745,999,0.0000060
750,999,0.0000060
755,999,0.0000060
760,999,0.0000060
765,999,0.0000070
770,999,0.0000070
775,999,0.0000070
780,999,0.0000060
785,999,0.0000060
790,999,0.0000060
795,999,0.0000060
800,999,0.0000060
805,999,0.0000070
810,999,0.0000070
815,999,0.0000060
820,999,0.0000070
825,999,0.0000070
830,999,0.0000060
835,999,0.0000060
840,999,0.0000060
845,999,0.0000080
850,999,0.0000090
855,999,0.0000090
860,999,0.0000100
865,999,0.0000100
870,999,0.0000090
875,999,0.0000090
880,999,0.0000090
885,999,0.0000090
890,999,0.0000100
895,999,0.0000100
900,999,0.0000110
905,999,0.0000080
910,999,0.0000130
915,999,0.0000090
920,999,0.0000110
925,999,0.0000100
930,999,0.0000090
935,999,0.0000090
940,999,0.0000080
945,999,0.0000090
950,999,0.0000080
955,999,0.0000100
960,999,0.0000100
965,999,0.0000090
970,999,0.0000090
975,999,0.0000110
980,999,0.0000090
985,999,0.0000090
990,999,0.0000090
995,999,0.0000090
