n, comp,tempo
0,999999,0.0025750
5,999,0.0000110
10,999,0.0000090
15,999,0.0000100
20,999,0.0000080
25,999,0.0000080
30,999,0.0000060
35,999,0.0000060
40,999,0.0000060
45,999,0.0000060
50,999,0.0000060
55,999,0.0000060
60,999,0.0000060
65,999,0.0000060
70,999,0.0000060
75,999,0.0000060
80,999,0.0000060
85,999,0.0000060
90,999,0.0000070
95,999,0.0000060
100,999,0.0000060
105,999,0.0000060
110,999,0.0000070
115,999,0.0000060
120,999,0.0000070
125,999,0.0000060
130,999,0.0000060
135,999,0.0000060
140,999,0.0000060
145,999,0.0000070
150,999,0.0000070
155,999,0.0000060
160,999,0.0000060
165,999,0.0000070
170,999,0.0000060
175,999,0.0000070
180,999,0.0000070
185,999,0.0000070
190,999,0.0000070
195,999,0.0000060
200,999,0.0000070
205,999,0.0000070
210,999,0.0000070
215,999,0.0000070
220,999,0.0000070
225,999,0.0000060
230,999,0.0000070
235,999,0.0000060
240,999,0.0000080
245,999,0.0000070
250,999,0.0000060
255,999,0.0000080
260,999,0.0000090
265,999,0.0000080
270,999,0.0000070
275,999,0.0000070
280,999,0.0000070
285,999,0.0000070
290,999,0.0000080
295,999,0.0000070
300,999,0.0000080
305,999,0.0000070
310,999,0.0000070
315,999,0.0000070
320,999,0.0000070
325,999,0.0000070
330,999,0.0000070
335,999,0.0000070
340,999,0.0000070
345,999,0.0000080
350,999,0.0000070
355,999,0.0000070
360,999,0.0000070
365,999,0.0000060
370,999,0.0000070
375,999,0.0000070
380,999,0.0000060
385,999,0.0000060
390,999,0.0000070
395,999,0.0000060
400,999,0.0000060
405,999,0.0000070
410,999,0.0000070
415,999,0.0000070
420,999,0.0000070
425,999,0.0000060
430,999,0.0000070
435,999,0.0000070
440,999,0.0000080
445,999,0.0000070
450,999,0.0000070
455,999,0.0000060
460,999,0.0000070
465,999,0.0000060
470,999,0.0000060
475,999,0.0000070
480,999,0.0000060
485,999,0.0000060
490,999,0.0000060
495,999,0.0000070
500,999,0.0000060
505,999,0.0000060
510,999,0.0000060
515,999,0.0000070
520,999,0.0000070
525,999,0.0000080
530,999,0.0000070
535,999,0.0000060
540,999,0.0000070
545,999,0.0000060
550,999,0.0000070
555,999,0.0000070
560,999,0.0000070
565,999,0.0000060
570,999,0.0000060
575,999,0.0000060
580,999,0.0000060
585,999,0.0000060
590,999,0.0000070
595,999,0.0000060
600,999,0.0000060
605,999,0.0000060
610,999,0.0000070
615,999,0.0000070
620,999,0.0000070
625,999,0.0000070
630,999,0.0000060
635,999,0.0000070
640,999,0.0000070
645,999,0.0000070
650,999,0.0000070
655,999,0.0000060
660,999,0.0000060
665,999,0.0000060
670,999,0.0000060
675,999,0.0000060
680,999,0.0000060
685,999,0.0000060
690,999,0.0000060
695,999,0.0000060
700,999,0.0000060
705,999,0.0000060
710,999,0.0000060
715,999,0.0000060
720,999,0.0000070
725,999,0.0000060
730,999,0.0000060
735,999,0.0000060
740,999,0.0000060
745,999,0.0000060
750,999,0.0000060
755,999,0.0000060
760,999,0.0000060
765,999,0.0000060
770,999,0.0000060
775,999,0.0000060
780,999,0.0000060
785,999,0.0000070
790,999,0.0000060
795,999,0.0000070
800,999,0.0000060
805,999,0.0000070
810,999,0.0000060
815,999,0.0000060
820,999,0.0000060
825,999,0.0000060
830,999,0.0000060
835,999,0.0000060
840,999,0.0000060
845,999,0.0000060
850,999,0.0000070
855,999,0.0000070
860,999,0.0000070
865,999,0.0000060
870,999,0.0000060
875,999,0.0000060
880,999,0.0000060
885,999,0.0000060
890,999,0.0000060
895,999,0.0000060
900,999,0.0000070
905,999,0.0000070
910,999,0.0000060
915,999,0.0000060
920,999,0.0000060
925,999,0.0000070
930,999,0.0000060
935,999,0.0000070
940,999,0.0000060
945,999,0.0000060
950,999,0.0000060
955,999,0.0000060
960,999,0.0000070
965,999,0.0000060
970,999,0.0000070
975,999,0.0000060
980,999,0.0000060
985,999,0.0000060
990,999,0.0000060
995,999,0.0000060
