n, comp,tempo
0,999,0.0000120
5,999,0.0000090
10,999,0.0000090
15,999,0.0000090
20,999,0.0000080
25,999,0.0000080
30,999,0.0000100
35,999,0.0000090
40,999,0.0000090
45,999,0.0000080
50,999,0.0000090
55,999,0.0000090
60,999,0.0000080
65,999,0.0000080
70,999,0.0000080
75,999,0.0000080
80,999,0.0000090
85,999,0.0000090
90,999,0.0000090
95,999,0.0000090
100,999,0.0000090
105,999,0.0000080
110,999,0.0000080
115,999,0.0000090
120,999,0.0000090
125,999,0.0000090
130,999,0.0000090
135,999,0.0000080
140,999,0.0000090
145,999,0.0000090
150,999,0.0000080
155,999,0.0000080
160,999,0.0000090
165,999,0.0000090
170,999,0.0000080
175,999,0.0000090
180,999,0.0000090
185,999,0.0000100
190,999,0.0000090
195,999,0.0000090
200,999,0.0000080
205,999,0.0000080
210,999,0.0000080
215,999,0.0000080
220,999,0.0000090
225,999,0.0000090
230,999,0.0000090
235,999,0.0000090
240,999,0.0000080
245,999,0.0000090
250,999,0.0000090
255,999,0.0000090
260,999,0.0000090
265,999,0.0000090
270,999,0.0000090
275,999,0.0000090
280,999,0.0000080
285,999,0.0000080
290,999,0.0000090
295,999,0.0000090
300,999,0.0000090
305,999,0.0000080
310,999,0.0000080
315,999,0.0000090
320,999,0.0000090
325,999,0.0000090
330,999,0.0000080
335,999,0.0000090
340,999,0.0000090
345,999,0.0000090
350,999,0.0000090
355,999,0.0000080
360,999,0.0000080
365,999,0.0000080
370,999,0.0000090
375,999,0.0000080
380,999,0.0000080
385,999,0.0000090
390,999,0.0000090
395,999,0.0000080
400,999,0.0000100
405,999,0.0000090
410,999,0.0000090
415,999,0.0000090
420,999,0.0000100
425,999,0.0000090
430,999,0.0000090
435,999,0.0000080
440,999,0.0000090
445,999,0.0000100
450,999,0.0000090
455,999,0.0000090
460,999,0.0000090
465,999,0.0000090
470,999,0.0000090
475,999,0.0000100
480,999,0.0000090
485,999,0.0000090
490,999,0.0000090
495,999,0.0000100
500,999,0.0000100
505,999,0.0000090
510,999,0.0000090
515,999,0.0000090
520,999,0.0000100
525,999,0.0000100
530,999,0.0000090
535,999,0.0000090
540,999,0.0000100
545,999,0.0000090
550,999,0.0000090
555,999,0.0000090
560,999,0.0000100
565,999,0.0000090
570,999,0.0000090
575,999,0.0000090
580,999,0.0000090
585,999,0.0000100
590,999,0.0000090
595,999,0.0000090
600,999,0.0000090
605,999,0.0000100
610,999,0.0000090
615,999,0.0000090
620,999,0.0000090
625,999,0.0000100
630,999,0.0000100
635,999,0.0000100
640,999,0.0000090
645,999,0.0000100
650,999,0.0000100
655,999,0.0000090
660,999,0.0000090
665,999,0.0000090
670,999,0.0000090
675,999,0.0000090
680,999,0.0000090
685,999,0.0000090
690,999,0.0000090
695,999,0.0000090
700,999,0.0000090
705,999,0.0000090
710,999,0.0000100
715,999,0.0000090
720,999,0.0000090
725,999,0.0000090
730,999,0.0000090
735,999,0.0000090
740,999,0.0000090
745,999,0.0000090
750,999,0.0000090
755,999,0.0000090
760,999,0.0000090
765,999,0.0000090
770,999,0.0000090
775,999,0.0000090
780,999,0.0000090
785,999,0.0000100
790,999,0.0000810
795,999,0.0000090
800,999,0.0000090
805,999,0.0000100
810,999,0.0000090
815,999,0.0000090
820,999,0.0000090
825,999,0.0000090
830,999,0.0000090
835,999,0.0000090
840,999,0.0000090
845,999,0.0000100
850,999,0.0000100
855,999,0.0000090
860,999,0.0000090
865,999,0.0000090
870,999,0.0000100
875,999,0.0000090
880,999,0.0000090
885,999,0.0000090
890,999,0.0000090
895,999,0.0000090
900,999,0.0000100
905,999,0.0000090
910,999,0.0000090
915,999,0.0000090
920,999,0.0000090
925,999,0.0000100
930,999,0.0000090
935,999,0.0000090
940,999,0.0000100
945,999,0.0000090
950,999,0.0000090
955,999,0.0000090
960,999,0.0000090
965,999,0.0000090
970,999,0.0000100
975,999,0.0000100
980,999,0.0000100
985,999,0.0000090
990,999,0.0000090
995,999,0.0000090
