n, comp,tempo
0,13117,0.0000410
5,999,0.0000110
10,999,0.0000080
15,999,0.0000090
20,999,0.0000080
25,999,0.0000090
30,999,0.0000100
35,999,0.0000080
40,999,0.0000080
45,999,0.0000090
50,999,0.0000090
55,999,0.0000090
60,999,0.0000080
65,999,0.0000090
70,999,0.0000090
75,999,0.0000090
80,999,0.0000080
85,999,0.0000090
90,999,0.0000080
95,999,0.0000080
100,999,0.0000090
105,999,0.0000100
110,999,0.0000090
115,999,0.0000090
120,999,0.0000090
125,999,0.0000090
130,999,0.0000100
135,999,0.0000090
140,999,0.0000090
145,999,0.0000100
150,999,0.0000080
155,999,0.0000090
160,999,0.0000100
165,999,0.0000110
170,999,0.0000090
175,999,0.0000080
180,999,0.0000090
185,999,0.0000090
190,999,0.0000090
195,999,0.0000100
200,999,0.0000110
205,999,0.0000080
210,999,0.0000090
215,999,0.0000100
220,999,0.0000100
225,999,0.0000090
230,999,0.0000090
235,999,0.0000100
240,999,0.0000090
245,999,0.0000100
250,999,0.0000080
255,999,0.0000100
260,999,0.0000090
265,999,0.0000100
270,999,0.0000090
275,999,0.0000090
280,999,0.0000100
285,999,0.0000090
290,999,0.0000110
295,999,0.0000100
300,999,0.0000100
305,999,0.0000090
310,999,0.0000100
315,999,0.0000090
320,999,0.0000090
325,999,0.0000110
330,999,0.0000100
335,999,0.0000100
340,999,0.0000090
345,999,0.0000090
350,999,0.0000100
355,999,0.0000100
360,999,0.0000090
365,999,0.0000090
370,999,0.0000090
375,999,0.0000100
380,999,0.0000090
385,999,0.0000120
390,999,0.0000090
395,999,0.0001540
400,999,0.0000110
405,999,0.0000080
410,999,0.0000090
415,999,0.0000090
420,999,0.0000080
425,999,0.0000110
430,999,0.0000100
435,999,0.0000090
440,999,0.0000090
445,999,0.0000080
450,999,0.0000090
455,999,0.0000100
460,999,0.0000120
465,999,0.0000090
470,999,0.0000090
475,999,0.0000080
480,999,0.0000110
485,999,0.0000090
490,999,0.0000090
495,999,0.0000090
500,999,0.0000080
505,999,0.0000100
510,999,0.0000100
515,999,0.0000080
520,999,0.0000080
525,999,0.0000090
530,999,0.0000100
535,999,0.0000100
540,999,0.0000090
545,999,0.0000090
550,999,0.0000090
555,999,0.0000100
560,999,0.0000090
565,999,0.0000090
570,999,0.0000090
575,999,0.0000090
580,999,0.0000090
585,999,0.0000090
590,999,0.0000100
595,999,0.0000100
600,999,0.0000080
605,999,0.0000090
610,999,0.0000090
615,999,0.0000090
620,999,0.0000090
625,999,0.0000090
630,999,0.0000090
635,999,0.0000100
640,999,0.0000090
645,999,0.0000100
650,999,0.0000090
655,999,0.0000100
660,999,0.0000090
665,999,0.0000090
670,999,0.0000080
675,999,0.0000080
680,999,0.0000090
685,999,0.0000090
690,999,0.0000080
695,999,0.0000080
700,999,0.0000090
705,999,0.0000090
710,999,0.0000110
715,999,0.0000090
720,999,0.0000090
725,999,0.0000100
730,999,0.0000090
735,999,0.0000090
740,999,0.0000080
745,999,0.0000090
750,999,0.0000080
755,999,0.0000090
760,999,0.0000090
765,999,0.0000100
770,999,0.0000090
775,999,0.0000110
780,999,0.0000110
785,999,0.0000090
790,999,0.0000110
795,999,0.0000100
800,999,0.0000100
805,999,0.0000100
810,999,0.0000090
815,999,0.0000100
820,999,0.0000080
825,999,0.0000100
830,999,0.0000080
835,999,0.0000120
840,999,0.0000160
845,999,0.0000110
850,999,0.0000100
855,999,0.0000090
860,999,0.0000090
865,999,0.0000070
870,999,0.0000070
875,999,0.0000060
880,999,0.0000060
885,999,0.0000060
890,999,0.0000070
895,999,0.0000090
900,999,0.0000100
905,999,0.0000100
910,999,0.0000070
915,999,0.0000080
920,999,0.0000110
925,999,0.0000090
930,999,0.0000060
935,999,0.0000080
940,999,0.0000100
945,999,0.0000080
950,999,0.0000090
955,999,0.0000080
960,999,0.0000080
965,999,0.0000090
970,999,0.0000090
975,999,0.0000080
980,999,0.0000080
985,999,0.0000100
990,999,0.0000100
995,999,0.0000090
