n, comp,tempo
0,999,0.0000070
5,999,0.0000070
10,999,0.0000060
15,999,0.0000060
20,999,0.0000070
25,999,0.0000060
30,999,0.0000060
35,999,0.0000060
40,999,0.0000060
45,999,0.0000060
50,999,0.0000060
55,999,0.0000070
60,999,0.0000060
65,999,0.0000060
70,999,0.0000060
75,999,0.0000060
80,999,0.0000060
85,999,0.0000070
90,999,0.0000060
95,999,0.0000060
100,999,0.0000060
105,999,0.0000060
110,999,0.0000060
115,999,0.0000070
120,999,0.0000060
125,999,0.0000060
130,999,0.0000060
135,999,0.0000060
140,999,0.0000060
145,999,0.0000070
150,999,0.0000060
155,999,0.0000060
160,999,0.0000060
165,999,0.0000060
170,999,0.0000060
175,999,0.0000070
180,999,0.0000060
185,999,0.0000060
190,999,0.0000060
195,999,0.0000060
200,999,0.0000060
205,999,0.0000070
210,999,0.0000060
215,999,0.0000060
220,999,0.0000060
225,999,0.0000060
230,999,0.0000060
235,999,0.0000070
240,999,0.0000060
245,999,0.0000080
250,999,0.0000110
255,999,0.0000090
260,999,0.0000080
265,999,0.0000080
270,999,0.0000090
275,999,0.0000090
280,999,0.0000080
285,999,0.0000090
290,999,0.0000080
295,999,0.0000080
300,999,0.0000090
305,999,0.0000080
310,999,0.0000090
315,999,0.0000090
320,999,0.0000080
325,999,0.0000090
330,999,0.0000090
335,999,0.0000090
340,999,0.0000100
345,999,0.0000090
350,999,0.0000090
355,999,0.0000090
360,999,0.0000100
365,999,0.0000080
370,999,0.0000090
375,999,0.0000080
380,999,0.0000090
385,999,0.0000090
390,999,0.0000090
395,999,0.0000080
400,999,0.0000090
405,999,0.0000090
410,999,0.0000080
415,999,0.0000090
420,999,0.0000110
425,999,0.0000090
430,999,0.0000070
435,999,0.0000060
440,999,0.0000060
445,999,0.0000060
450,999,0.0000070
455,999,0.0000060
460,999,0.0000070
465,999,0.0000060
470,999,0.0000070
475,999,0.0000060
480,999,0.0000070
485,999,0.0000060
490,999,0.0000060
495,999,0.0000060
500,999,0.0000060
505,999,0.0000070
510,999,0.0000060
515,999,0.0000060
520,999,0.0000070
525,999,0.0000060
530,999,0.0000080
535,999,0.0000060
540,999,0.0000070
545,999,0.0000060
550,999,0.0000060
555,999,0.0000060
560,999,0.0000210
565,999,0.0000060
570,999,0.0000060
575,999,0.0000070
580,999,0.0000060
585,999,0.0000070
590,999,0.0000060
595,999,0.0000070
600,999,0.0000070
605,999,0.0000070
610,999,0.0000070
615,999,0.0000060
620,999,0.0000060
625,999,0.0000080
630,999,0.0000090
635,999,0.0000090
640,999,0.0000080
645,999,0.0000100
650,999,0.0000080
655,999,0.0000090
660,999,0.0000100
665,999,0.0000090
670,999,0.0000090
675,999,0.0000100
680,999,0.0000090
685,999,0.0000090
690,999,0.0000100
695,999,0.0000120
700,999,0.0000100
705,999,0.0000110
710,999,0.0000090
715,999,0.0000110
720,999,0.0000090
725,999,0.0000120
730,999,0.0000090
735,999,0.0000100
740,999,0.0000090
745,999,0.0000090
750,999,0.0000110
755,999,0.0000090
760,999,0.0000090
765,999,0.0000150
770,999,0.0000090
775,999,0.0000100
780,999,0.0000100
785,999,0.0000090
790,999,0.0000170
795,999,0.0000090
800,999,0.0000100
805,999,0.0000100
810,999,0.0000100
815,999,0.0000090
820,999,0.0000110
825,999,0.0000090
830,999,0.0000090
835,999,0.0000100
840,999,0.0000130
845,999,0.0000160
850,999,0.0000110
855,999,0.0000110
860,999,0.0000130
865,999,0.0000140
870,999,0.0000110
875,999,0.0000100
880,999,0.0000120
885,999,0.0000090
890,999,0.0000090
895,999,0.0000170
900,999,0.0000110
905,999,0.0000090
910,999,0.0000090
915,999,0.0000080
920,999,0.0000090
925,999,0.0000090
930,999,0.0000090
935,999,0.0000080
940,999,0.0000080
945,999,0.0000090
950,999,0.0000090
955,999,0.0000100
960,999,0.0000090
965,999,0.0000100
970,999,0.0000100
975,999,0.0000110
980,999,0.0000100
985,999,0.0000090
990,999,0.0000100
995,999,0.0000080
