n, comp,tempo
0,999999,0.0026560
5,999,0.0000090
10,999,0.0000080
15,999,0.0000090
20,999,0.0000090
25,999,0.0000090
30,999,0.0000100
35,999,0.0000090
40,999,0.0000090
45,999,0.0000090
50,999,0.0000090
55,999,0.0000090
60,999,0.0000090
65,999,0.0000090
70,999,0.0000100
75,999,0.0000080
80,999,0.0000090
85,999,0.0000090
90,999,0.0000090
95,999,0.0000090
100,999,0.0000100
105,999,0.0000090
110,999,0.0000090
115,999,0.0000090
120,999,0.0000090
125,999,0.0000090
130,999,0.0000080
135,999,0.0000090
140,999,0.0000090
145,999,0.0000090
150,999,0.0000090
155,999,0.0000090
160,999,0.0000080
165,999,0.0000080
170,999,0.0000080
175,999,0.0000090
180,999,0.0000080
185,999,0.0000090
190,999,0.0000090
195,999,0.0000080
200,999,0.0000090
205,999,0.0000090
210,999,0.0000080
215,999,0.0000100
220,999,0.0000100
225,999,0.0000100
230,999,0.0000100
235,999,0.0000090
240,999,0.0000080
245,999,0.0000100
250,999,0.0000110
255,999,0.0000090
260,999,0.0000080
265,999,0.0000080
270,999,0.0000080
275,999,0.0000080
280,999,0.0000080
285,999,0.0000080
290,999,0.0000080
295,999,0.0000080
300,999,0.0000090
305,999,0.0000090
310,999,0.0000090
315,999,0.0000080
320,999,0.0000080
325,999,0.0000080
330,999,0.0000090
335,999,0.0000090
340,999,0.0000100
345,999,0.0000090
350,999,0.0000090
355,999,0.0000100
360,999,0.0000080
365,999,0.0000080
370,999,0.0000080
375,999,0.0000080
380,999,0.0000080
385,999,0.0000080
390,999,0.0000100
395,999,0.0000090
400,999,0.0000080
405,999,0.0000090
410,999,0.0000090
415,999,0.0000090
420,999,0.0000100
425,999,0.0000080
430,999,0.0000090
435,999,0.0000090
440,999,0.0000090
445,999,0.0000090
450,999,0.0000090
455,999,0.0000090
460,999,0.0000090
465,999,0.0000080
470,999,0.0000090
475,999,0.0000090
480,999,0.0000090
485,999,0.0000080
490,999,0.0000090
495,999,0.0000090
500,999,0.0000110
505,999,0.0000100
510,999,0.0000110
515,999,0.0000100
520,999,0.0000100
525,999,0.0000110
530,999,0.0000110
535,999,0.0000110
540,999,0.0000100
545,999,0.0000090
550,999,0.0000080
555,999,0.0000080
560,999,0.0000080
565,999,0.0000090
570,999,0.0000090
575,999,0.0000090
580,999,0.0000090
585,999,0.0000080
590,999,0.0000090
595,999,0.0000100
600,999,0.0000120
605,999,0.0000100
610,999,0.0000130
615,999,0.0000110
620,999,0.0000100
625,999,0.0000100
630,999,0.0000090
635,999,0.0000080
640,999,0.0000090
645,999,0.0000080
650,999,0.0000080
655,999,0.0000090
660,999,0.0000100
665,999,0.0000090
670,999,0.0000090
675,999,0.0000080
680,999,0.0000080
685,999,0.0000090
690,999,0.0000090
695,999,0.0000080
700,999,0.0000100
705,999,0.0000080
710,999,0.0000080
715,999,0.0000090
720,999,0.0000080
725,999,0.0000100
730,999,0.0000090
735,999,0.0000090
740,999,0.0000090
745,999,0.0000110
750,999,0.0000090
755,999,0.0000140
760,999,0.0000090
765,999,0.0000100
770,999,0.0000090
775,999,0.0000090
780,999,0.0000110
785,999,0.0000120
790,999,0.0000100
795,999,0.0000100
800,999,0.0000100
805,999,0.0000100
810,999,0.0000100
815,999,0.0000090
820,999,0.0000110
825,999,0.0000120
830,999,0.0000110
835,999,0.0000090
840,999,0.0000090
845,999,0.0000110
850,999,0.0000100
855,999,0.0000090
860,999,0.0000090
865,999,0.0000090
870,999,0.0000090
875,999,0.0000090
880,999,0.0000090
885,999,0.0000100
890,999,0.0000100
895,999,0.0000080
900,999,0.0000080
905,999,0.0000080
910,999,0.0000080
915,999,0.0000080
920,999,0.0000080
925,999,0.0000090
930,999,0.0000090
935,999,0.0000080
940,999,0.0000380
945,999,0.0000090
950,999,0.0000080
955,999,0.0000080
960,999,0.0000090
965,999,0.0000090
970,999,0.0000090
975,999,0.0000080
980,999,0.0000090
985,999,0.0000090
990,999,0.0000090
995,999,0.0000090
