n, comp,tempo
0,466347,0.0013930
5,999,0.0000100
10,999,0.0000090
15,999,0.0000090
20,999,0.0000090
25,999,0.0000090
30,999,0.0000100
35,999,0.0000100
40,999,0.0000100
45,999,0.0000100
50,999,0.0000100
55,999,0.0000100
60,999,0.0000110
65,999,0.0000080
70,999,0.0000090
75,999,0.0000080
80,999,0.0000080
85,999,0.0000080
90,999,0.0000090
95,999,0.0000100
100,999,0.0000080
105,999,0.0000080
110,999,0.0000080
115,999,0.0000080
120,999,0.0000090
125,999,0.0000080
130,999,0.0000090
135,999,0.0000080
140,999,0.0000090
145,999,0.0000090
150,999,0.0000090
155,999,0.0000090
160,999,0.0000090
165,999,0.0000090
170,999,0.0000100
175,999,0.0000100
180,999,0.0000090
185,999,0.0000090
190,999,0.0000090
195,999,0.0000090
200,999,0.0000100
205,999,0.0000090
210,999,0.0000090
215,999,0.0000090
220,999,0.0000090
225,999,0.0000080
230,999,0.0000090
235,999,0.0000110
240,999,0.0000090
245,999,0.0000090
250,999,0.0000100
255,999,0.0000100
260,999,0.0000100
265,999,0.0000100
270,999,0.0000100
275,999,0.0000100
280,999,0.0000100
285,999,0.0000090
290,999,0.0000090
295,999,0.0000090
300,999,0.0000090
305,999,0.0000090
310,999,0.0000090
315,999,0.0000090
320,999,0.0000090
325,999,0.0000090
330,999,0.0000090
335,999,0.0000090
340,999,0.0000080
345,999,0.0000080
350,999,0.0000090
355,999,0.0000090
360,999,0.0000090
365,999,0.0000090
370,999,0.0000090
375,999,0.0000090
380,999,0.0000090
385,999,0.0000090
390,999,0.0000090
395,999,0.0000100
400,999,0.0000090
405,999,0.0000100
410,999,0.0000090
415,999,0.0000100
420,999,0.0000100
425,999,0.0000100
430,999,0.0000090
435,999,0.0000090
440,999,0.0000090
445,999,0.0000090
450,999,0.0000090
455,999,0.0000090
460,999,0.0000090
465,999,0.0000090
470,999,0.0000090
475,999,0.0000100
480,999,0.0000090
485,999,0.0000090
490,999,0.0000100
495,999,0.0000090
500,999,0.0000090
505,999,0.0000090
510,999,0.0000090
515,999,0.0000090
520,999,0.0000090
525,999,0.0000090
530,999,0.0000090
535,999,0.0000090
540,999,0.0000090
545,999,0.0000090
550,999,0.0000090
555,999,0.0000100
560,999,0.0000100
565,999,0.0000100
570,999,0.0000090
575,999,0.0000090
580,999,0.0000090
585,999,0.0000090
590,999,0.0000090
595,999,0.0000090
600,999,0.0000090
605,999,0.0000090
610,999,0.0000090
615,999,0.0000090
620,999,0.0000090
625,999,0.0000090
630,999,0.0000090
635,999,0.0000090
640,999,0.0000080
645,999,0.0000090
650,999,0.0000090
655,999,0.0000090
660,999,0.0000090
665,999,0.0000100
670,999,0.0000100
675,999,0.0000090
680,999,0.0000120
685,999,0.0000100
690,999,0.0000090
695,999,0.0000090
700,999,0.0000090
705,999,0.0000090
710,999,0.0000090
715,999,0.0000090
720,999,0.0000090
725,999,0.0000090
730,999,0.0000080
735,999,0.0000080
740,999,0.0000100
745,999,0.0000090
750,999,0.0000100
755,999,0.0000090
760,999,0.0000090
765,999,0.0000090
770,999,0.0000090
775,999,0.0000100
780,999,0.0000090
785,999,0.0000090
790,999,0.0000090
795,999,0.0000090
800,999,0.0000090
805,999,0.0000090
810,999,0.0000090
815,999,0.0000100
820,999,0.0000100
825,999,0.0000090
830,999,0.0000090
835,999,0.0000090
840,999,0.0000090
845,999,0.0000090
850,999,0.0000090
855,999,0.0000090
860,999,0.0000090
865,999,0.0000090
870,999,0.0000090
875,999,0.0000090
880,999,0.0000090
885,999,0.0000090
890,999,0.0000090
895,999,0.0000100
900,999,0.0000090
905,999,0.0000100
910,999,0.0000090
915,999,0.0000080
920,999,0.0000090
925,999,0.0000090
930,999,0.0000080
935,999,0.0000080
940,999,0.0000090
945,999,0.0000080
950,999,0.0000090
955,999,0.0000080
960,999,0.0000080
965,999,0.0000080
970,999,0.0000080
975,999,0.0000090
980,999,0.0000080
985,999,0.0000090
990,999,0.0000080
995,999,0.0000090
