n, comp,tempo
0,999,0.0000070
5,999,0.0000060
10,999,0.0000060
15,999,0.0000070
20,999,0.0000060
25,999,0.0000060
30,999,0.0000060
35,999,0.0000060
40,999,0.0000060
45,999,0.0000060
50,999,0.0000060
55,999,0.0000060
60,999,0.0000060
65,999,0.0000060
70,999,0.0000060
75,999,0.0000060
80,999,0.0000060
85,999,0.0000060
90,999,0.0000060
95,999,0.0000060
100,999,0.0000060
105,999,0.0000070
110,999,0.0000060
115,999,0.0000060
120,999,0.0000070
125,999,0.0000060
130,999,0.0000060
135,999,0.0000060
140,999,0.0000070
145,999,0.0000060
150,999,0.0000070
155,999,0.0000070
160,999,0.0000070
165,999,0.0000060
170,999,0.0000060
175,999,0.0000070
180,999,0.0000080
185,999,0.0000080
190,999,0.0000060
195,999,0.0000070
200,999,0.0000060
205,999,0.0000060
210,999,0.0000070
215,999,0.0000070
220,999,0.0000070
225,999,0.0000070
230,999,0.0000070
235,999,0.0000060
240,999,0.0000060
245,999,0.0000070
250,999,0.0000090
255,999,0.0000090
260,999,0.0000090
265,999,0.0000090
270,999,0.0000100
275,999,0.0000080
280,999,0.0000090
285,999,0.0000080
290,999,0.0000090
295,999,0.0000090
300,999,0.0000090
305,999,0.0000080
310,999,0.0000070
315,999,0.0000070
320,999,0.0000060
325,999,0.0000060
330,999,0.0000080
335,999,0.0000100
340,999,0.0000080
345,999,0.0000100
350,999,0.0000100
355,999,0.0000060
360,999,0.0000090
365,999,0.0000100
370,999,0.0000090
375,999,0.0000090
380,999,0.0000100
385,999,0.0000090
390,999,0.0000090
395,999,0.0000100
400,999,0.0000080
405,999,0.0000080
410,999,0.0000090
415,999,0.0000230
420,999,0.0000080
425,999,0.0000110
430,999,0.0000090
435,999,0.0000100
440,999,0.0000110
445,999,0.0000100
450,999,0.0000090
455,999,0.0000110
460,999,0.0000120
465,999,0.0000090
470,999,0.0000080
475,999,0.0000080
480,999,0.0000090
485,999,0.0000090
490,999,0.0000100
495,999,0.0000090
500,999,0.0000060
505,999,0.0000070
510,999,0.0000060
515,999,0.0000060
520,999,0.0000060
525,999,0.0000060
530,999,0.0000060
535,999,0.0000060
540,999,0.0000060
545,999,0.0000060
550,999,0.0000060
555,999,0.0000060
560,999,0.0000070
565,999,0.0000060
570,999,0.0000060
575,999,0.0000060
580,999,0.0000060
585,999,0.0000060
590,999,0.0000060
595,999,0.0000060
600,999,0.0000060
605,999,0.0000060
610,999,0.0000060
615,999,0.0000060
620,999,0.0000060
625,999,0.0000070
630,999,0.0000060
635,999,0.0000060
640,999,0.0000070
645,999,0.0000060
650,999,0.0000100
655,999,0.0000090
660,999,0.0000090
665,999,0.0000100
670,999,0.0000100
675,999,0.0000090
680,999,0.0000080
685,999,0.0000090
690,999,0.0000080
695,999,0.0000090
700,999,0.0000090
705,999,0.0000090
710,999,0.0000080
715,999,0.0000080
720,999,0.0000080
725,999,0.0000090
730,999,0.0000090
735,999,0.0000080
740,999,0.0000090
745,999,0.0000090
750,999,0.0000090
755,999,0.0000090
760,999,0.0000090
765,999,0.0000090
770,999,0.0000080
775,999,0.0000080
780,999,0.0000080
785,999,0.0000080
790,999,0.0000090
795,999,0.0000090
800,999,0.0000090
805,999,0.0000100
810,999,0.0000100
815,999,0.0000080
820,999,0.0000090
825,999,0.0000090
830,999,0.0000090
835,999,0.0000090
840,999,0.0000100
845,999,0.0000090
850,999,0.0000090
855,999,0.0000090
860,999,0.0000090
865,999,0.0000090
870,999,0.0000090
875,999,0.0000080
880,999,0.0000090
885,999,0.0000080
890,999,0.0000090
895,999,0.0000090
900,999,0.0000090
905,999,0.0000080
910,999,0.0000090
915,999,0.0000100
920,999,0.0000100
925,999,0.0000100
930,999,0.0000090
935,999,0.0000080
940,999,0.0000090
945,999,0.0000080
950,999,0.0000090
955,999,0.0000090
960,999,0.0000090
965,999,0.0000090
970,999,0.0000090
975,999,0.0000090
980,999,0.0000080
985,999,0.0000090
990,999,0.0000090
995,999,0.0000090
