n, comp,tempo
0,13117,0.0000000
5,999,0.0000000
10,999,0.0000000
15,999,0.0000000
20,999,0.0000000
25,999,0.0000000
30,999,0.0000000
35,999,0.0000000
40,999,0.0000000
45,999,0.0000000
50,999,0.0000000
55,999,0.0000000
60,999,0.0000000
65,999,0.0000000
70,999,0.0000000
75,999,0.0000000
80,999,0.0000000
85,999,0.0000000
90,999,0.0000000
95,999,0.0000000
100,999,0.0000000
105,999,0.0000000
110,999,0.0000000
115,999,0.0000000
120,999,0.0000000
125,999,0.0000000
130,999,0.0000000
135,999,0.0000000
140,999,0.0000000
145,999,0.0000000
150,999,0.0000000
155,999,0.0000000
160,999,0.0000000
165,999,0.0000000
170,999,0.0000000
175,999,0.0000000
180,999,0.0000000
185,999,0.0000000
190,999,0.0000000
195,999,0.0000000
200,999,0.0000000
205,999,0.0000000
210,999,0.0000000
215,999,0.0000000
220,999,0.0000000
225,999,0.0000000
230,999,0.0000000
235,999,0.0000000
240,999,0.0000000
245,999,0.0000000
250,999,0.0000000
255,999,0.0000000
260,999,0.0000000
265,999,0.0000000
270,999,0.0000000
275,999,0.0000000
280,999,0.0000000
285,999,0.0000000
290,999,0.0000000
295,999,0.0000000
300,999,0.0000000
305,999,0.0000000
310,999,0.0000000
315,999,0.0000000
320,999,0.0000000
325,999,0.0000000
330,999,0.0000000
335,999,0.0000000
340,999,0.0000000
345,999,0.0000000
350,999,0.0000000
355,999,0.0000000
360,999,0.0000000
365,999,0.0000000
370,999,0.0000000
375,999,0.0000000
380,999,0.0000000
385,999,0.0000000
390,999,0.0000000
395,999,0.0000000
400,999,0.0000000
405,999,0.0000000
410,999,0.0000000
415,999,0.0000000
420,999,0.0000000
425,999,0.0000000
430,999,0.0000000
435,999,0.0000000
440,999,0.0000000
445,999,0.0000000
450,999,0.0000000
455,999,0.0000000
460,999,0.0000000
465,999,0.0000000
470,999,0.0000000
475,999,0.0000000
480,999,0.0000000
485,999,0.0000000
490,999,0.0000000
495,999,0.0000000
500,999,0.0000000
505,999,0.0000000
510,999,0.0000000
515,999,0.0000000
520,999,0.0000000
525,999,0.0000000
530,999,0.0000000
535,999,0.0000000
540,999,0.0000000
545,999,0.0000000
550,999,0.0000000
555,999,0.0000000
560,999,0.0000000
565,999,0.0000000
570,999,0.0000000
575,999,0.0000000
580,999,0.0000000
585,999,0.0000000
590,999,0.0000000
595,999,0.0000000
600,999,0.0000000
605,999,0.0000000
610,999,0.0000000
615,999,0.0000000
620,999,0.0000000
625,999,0.0000000
630,999,0.0000000
635,999,0.0000000
640,999,0.0000000
645,999,0.0000000
650,999,0.0000000
655,999,0.0000000
660,999,0.0000000
665,999,0.0000000
670,999,0.0000000
675,999,0.0000000
680,999,0.0000000
685,999,0.0000000
690,999,0.0000000
695,999,0.0000000
700,999,0.0000000
705,999,0.0000000
710,999,0.0000000
715,999,0.0000000
720,999,0.0000000
725,999,0.0000000
730,999,0.0000000
735,999,0.0000000
740,999,0.0000000
745,999,0.0000000
750,999,0.0000000
755,999,0.0000000
760,999,0.0000000
765,999,0.0000000
770,999,0.0000000
775,999,0.0000000
780,999,0.0000000
785,999,0.0000000
790,999,0.0000000
795,999,0.0000000
800,999,0.0000000
805,999,0.0000000
810,999,0.0000000
815,999,0.0000000
820,999,0.0000000
825,999,0.0000000
830,999,0.0000000
835,999,0.0000000
840,999,0.0000000
845,999,0.0000000
850,999,0.0000000
855,999,0.0000000
860,999,0.0000000
865,999,0.0000000
870,999,0.0000000
875,999,0.0000000
880,999,0.0000000
885,999,0.0000000
890,999,0.0000000
895,999,0.0000000
900,999,0.0000000
905,999,0.0000000
910,999,0.0000000
915,999,0.0000000
920,999,0.0000000
925,999,0.0000000
930,999,0.0000000
935,999,0.0000000
940,999,0.0000000
945,999,0.0000000
950,999,0.0000000
955,999,0.0000000
960,999,0.0000000
965,999,0.0000000
970,999,0.0000000
975,999,0.0000000
980,999,0.0000000
985,999,0.0000000
990,999,0.0000000
995,999,0.0000000
