sucesso,tempo,comparacoes
-1,0.000002,-1
-1,0.000002,-1
-1,0.000001,0
-1,0.000001,1
-1,0.000001,3
-1,0.000001,5
-1,0.000001,7
-1,0.000002,9
-1,0.000001,12
-1,0.000001,15
-1,0.000001,18
-1,0.000002,21
-1,0.000001,24
-1,0.000001,27
-1,0.000001,30
-1,0.000001,33
-1,0.000002,37
-1,0.000001,41
-1,0.000001,45
-1,0.000001,49
-1,0.000001,53
-1,0.000001,57
-1,0.000001,61
-1,0.000001,65
-1,0.000001,69
-1,0.000002,73
-1,0.000001,77
26,0.000001,108
26,0.000001,138
27,0.000002,169
26,0.000001,198
27,0.000001,228
27,0.000001,258
-1,0.000002,262
27,0.000001,293
26,0.000001,321
26,0.000001,349
27,0.000001,378
-1,0.000001,382
26,0.000001,412
26,0.000001,442
27,0.000002,473
-1,0.000001,477
26,0.000001,506
26,0.000001,535
27,0.000001,565
-1,0.000002,569
26,0.000001,599
26,0.000001,629
27,0.000001,660
27,0.000002,691
-1,0.000001,695
-1,0.000001,699
26,0.000001,726
26,0.000001,753
27,0.000002,781
27,0.000001,809
-1,0.000002,813
-1,0.000001,817
27,0.000001,849
27,0.000001,881
26,0.000002,911
26,0.000001,941
27,0.000001,972
27,0.000001,1003
27,0.000002,1034
27,0.000001,1065
-1,0.000001,1070
-1,0.000001,1075
27,0.000002,1107
27,0.000001,1139
26,0.000001,1168
26,0.000001,1197
26,0.000001,1226
26,0.000002,1255
27,0.000001,1285
27,0.000001,1315
-1,0.000001,1320
-1,0.000001,1325
26,0.000002,1356
26,0.000001,1387
26,0.000001,1418
26,0.000001,1449
27,0.000001,1481
27,0.000001,1513
-1,0.000001,1518
-1,0.000001,1523
26,0.000001,1553
26,0.000002,1583
26,0.000001,1613
26,0.000001,1643
27,0.000001,1674
27,0.000001,1705
-1,0.000002,1710
-1,0.000001,1715
26,0.000001,1746
26,0.000001,1777
26,0.000002,1808
26,0.000001,1839
27,0.000001,1871
27,0.000001,1903
27,0.000001,1935
27,0.000002,1967
-1,0.000001,1972
-1,0.000001,1977
-1,0.000001,1982
-1,0.000001,1987
26,0.000002,2015
26,0.000001,2043
26,0.000001,2071
26,0.000001,2099
27,0.000001,2128
27,0.000002,2157
27,0.000001,2186
27,0.000001,2215
-1,0.000001,2220
-1,0.000001,2225
-1,0.000002,2230
-1,0.000001,2235
27,0.000001,2268
27,0.000001,2301
27,0.000002,2334
27,0.000001,2367
26,0.000001,2398
26,0.000001,2429
26,0.000001,2460
26,0.000002,2491
27,0.000001,2523
27,0.000001,2555
27,0.000001,2587
27,0.000001,2619
27,0.000002,2651
27,0.000001,2683
27,0.000001,2715
27,0.000001,2747
-1,0.000001,2753
-1,0.000002,2759
-1,0.000001,2765
-1,0.000001,2771
27,0.000001,2804
27,0.000002,2837
27,0.000001,2870
27,0.000001,2903
26,0.000001,2933
26,0.000001,2963
26,0.000002,2993
26,0.000001,3023
26,0.000001,3053
26,0.000001,3083
26,0.000001,3113
26,0.000002,3143
27,0.000001,3174
27,0.000001,3205
27,0.000001,3236
27,0.000001,3267
-1,0.000002,3273
-1,0.000001,3279
-1,0.000001,3285
-1,0.000001,3291
26,0.000002,3323
26,0.000001,3355
26,0.000001,3387
26,0.000001,3419
26,0.000001,3451
26,0.000002,3483
26,0.000001,3515
26,0.000001,3547
27,0.000001,3580
27,0.000001,3613
27,0.000002,3646
27,0.000001,3679
-1,0.000001,3685
-1,0.000001,3691
-1,0.000002,3697
-1,0.000001,3703
26,0.000001,3734
26,0.000001,3765
26,0.000001,3796
26,0.000002,3827
26,0.000002,3858
26,0.000002,3889
26,0.000001,3920
26,0.000001,3951
27,0.000002,3983
27,0.000001,4015
27,0.000001,4047
27,0.000001,4079
-1,0.000002,4085
-1,0.000001,4091
-1,0.000001,4097
-1,0.000001,4103
26,0.000002,4135
26,0.000001,4167
26,0.000001,4199
26,0.000001,4231
26,0.000002,4263
26,0.000001,4295
26,0.000001,4327
26,0.000001,4359
27,0.000001,4392
27,0.000001,4425
27,0.000001,4458
27,0.000002,4491
27,0.000001,4524
27,0.000001,4557
27,0.000001,4590
27,0.000001,4623
-1,0.000001,4629
-1,0.000001,4635
-1,0.000001,4641
-1,0.000001,4647
-1,0.000001,4653
-1,0.000001,4659
-1,0.000001,4665
-1,0.000001,4671
26,0.000001,4700
26,0.000001,4729
26,0.000002,4758
26,0.000001,4787
26,0.000001,4816
26,0.000001,4845
26,0.000001,4874
26,0.000001,4903
27,0.000001,4933
27,0.000001,4963
27,0.000001,4993
27,0.000001,5023
27,0.000002,5053
27,0.000001,5083
27,0.000001,5113
27,0.000001,5143
-1,0.000002,5149
-1,0.000001,5155
-1,0.000001,5161
-1,0.000001,5167
-1,0.000002,5173
-1,0.000001,5179
-1,0.000001,5185
-1,0.000001,5191
27,0.000002,5225
27,0.000001,5259
27,0.000001,5293
27,0.000001,5327
27,0.000001,5361
27,0.000001,5395
27,0.000001,5429
27,0.000001,5463
26,0.000003,5495
26,0.000002,5527
26,0.000002,5559
26,0.000002,5591
26,0.000002,5623
26,0.000001,5655
26,0.000001,5687
26,0.000002,5719
27,0.000001,5752
27,0.000002,5785
27,0.000002,5818
27,0.000002,5851
27,0.000001,5884
27,0.000001,5917
27,0.000002,5950
27,0.000002,5983
27,0.000002,6016
27,0.000001,6049
27,0.000001,6082
27,0.000002,6115
27,0.000001,6148
27,0.000002,6181
27,0.000001,6214
27,0.000001,6247
-1,0.000001,6254
-1,0.000002,6261
-1,0.000002,6268
-1,0.000002,6275
-1,0.000001,6282
-1,0.000001,6289
-1,0.000001,6296
-1,0.000001,6303
27,0.000001,6337
27,0.000001,6371
27,0.000002,6405
27,0.000001,6439
27,0.000002,6473
27,0.000002,6507
27,0.000001,6541
27,0.000001,6575
26,0.000002,6606
26,0.000002,6637
26,0.000001,6668
26,0.000001,6699
26,0.000002,6730
26,0.000001,6761
26,0.000002,6792
26,0.000001,6823
26,0.000001,6854
26,0.000002,6885
26,0.000001,6916
26,0.000001,6947
26,0.000001,6978
26,0.000002,7009
26,0.000002,7040
26,0.000001,7071
27,0.000002,7103
27,0.000002,7135
27,0.000002,7167
27,0.000001,7199
27,0.000001,7231
27,0.000002,7263
27,0.000001,7295
27,0.000001,7327
-1,0.000001,7334
-1,0.000001,7341
-1,0.000001,7348
-1,0.000001,7355
-1,0.000001,7362
-1,0.000001,7369
-1,0.000001,7376
-1,0.000001,7383
26,0.000001,7416
26,0.000001,7449
26,0.000001,7482
26,0.000001,7515
26,0.000001,7548
26,0.000002,7581
26,0.000001,7614
26,0.000001,7647
26,0.000001,7680
26,0.000002,7713
26,0.000001,7746
26,0.000001,7779
26,0.000001,7812
26,0.000001,7845
26,0.000001,7878
26,0.000001,7911
27,0.000002,7945
27,0.000002,7979
27,0.000002,8013
27,0.000001,8047
27,0.000001,8081
27,0.000001,8115
27,0.000001,8149
27,0.000001,8183
-1,0.000002,8190
-1,0.000001,8197
-1,0.000001,8204
-1,0.000001,8211
-1,0.000001,8218
-1,0.000001,8225
-1,0.000002,8232
-1,0.000001,8239
26,0.000001,8271
26,0.000001,8303
26,0.000001,8335
26,0.000001,8367
26,0.000002,8399
26,0.000001,8431
26,0.000001,8463
26,0.000001,8495
26,0.000001,8527
26,0.000002,8559
26,0.000001,8591
26,0.000001,8623
26,0.000001,8655
26,0.000001,8687
26,0.000001,8719
26,0.000001,8751
27,0.000001,8784
27,0.000002,8817
27,0.000001,8850
27,0.000001,8883
27,0.000001,8916
27,0.000002,8949
27,0.000001,8982
27,0.000001,9015
-1,0.000001,9022
-1,0.000001,9029
-1,0.000002,9036
-1,0.000002,9043
-1,0.000002,9050
-1,0.000001,9057
-1,0.000001,9064
-1,0.000001,9071
26,0.000001,9104
26,0.000001,9137
26,0.000001,9170
26,0.000002,9203
26,0.000001,9236
26,0.000001,9269
26,0.000001,9302
26,0.000001,9335
26,0.000002,9368
26,0.000002,9401
26,0.000001,9434
26,0.000002,9467
26,0.000002,9500
26,0.000001,9533
26,0.000002,9566
26,0.000001,9599
27,0.000001,9633
27,0.000001,9667
27,0.000002,9701
27,0.000001,9735
27,0.000001,9769
27,0.000001,9803
27,0.000001,9837
27,0.000001,9871
27,0.000001,9905
27,0.000002,9939
27,0.000001,9973
27,0.000001,10007
27,0.000001,10041
27,0.000001,10075
27,0.000002,10109
27,0.000001,10143
-1,0.000001,10150
-1,0.000001,10157
-1,0.000002,10164
-1,0.000002,10171
-1,0.000002,10178
-1,0.000001,10185
-1,0.000001,10192
-1,0.000001,10199
-1,0.000001,10206
-1,0.000001,10213
-1,0.000002,10220
-1,0.000002,10227
-1,0.000001,10234
-1,0.000001,10241
-1,0.000001,10248
-1,0.000001,10255
26,0.000001,10285
26,0.000002,10315
26,0.000002,10345
26,0.000001,10375
26,0.000001,10405
26,0.000001,10435
26,0.000002,10465
26,0.000002,10495
26,0.000002,10525
26,0.000001,10555
26,0.000001,10585
26,0.000001,10615
26,0.000001,10645
26,0.000001,10675
26,0.000001,10705
26,0.000002,10735
27,0.000002,10766
27,0.000002,10797
27,0.000001,10828
27,0.000001,10859
27,0.000001,10890
27,0.000001,10921
27,0.000001,10952
27,0.000001,10983
27,0.000001,11014
27,0.000001,11045
27,0.000001,11076
27,0.000001,11107
27,0.000001,11138
27,0.000001,11169
27,0.000001,11200
27,0.000001,11231
-1,0.000001,11238
-1,0.000001,11245
-1,0.000002,11252
-1,0.000002,11259
-1,0.000002,11266
-1,0.000002,11273
-1,0.000002,11280
-1,0.000001,11287
-1,0.000002,11294
-1,0.000001,11301
-1,0.000001,11308
-1,0.000001,11315
-1,0.000001,11322
-1,0.000001,11329
-1,0.000001,11336
-1,0.000001,11343
27,0.000001,11378
27,0.000001,11413
27,0.000001,11448
27,0.000002,11483
27,0.000002,11518
27,0.000003,11553
27,0.000002,11588
27,0.000001,11623
27,0.000001,11658
27,0.000001,11693
27,0.000002,11728
27,0.000002,11763
27,0.000001,11798
27,0.000002,11833
27,0.000001,11868
27,0.000001,11903
26,0.000001,11936
26,0.000001,11969
26,0.000001,12002
26,0.000002,12035
26,0.000002,12068
26,0.000002,12101
26,0.000002,12134
26,0.000001,12167
26,0.000002,12200
26,0.000002,12233
26,0.000002,12266
26,0.000001,12299
26,0.000001,12332
26,0.000002,12365
26,0.000002,12398
26,0.000001,12431
27,0.000001,12465
27,0.000001,12499
27,0.000002,12533
27,0.000002,12567
27,0.000002,12601
27,0.000001,12635
27,0.000002,12669
27,0.000002,12703
27,0.000002,12737
27,0.000001,12771
27,0.000001,12805
27,0.000002,12839
27,0.000002,12873
27,0.000001,12907
27,0.000001,12941
27,0.000001,12975
27,0.000002,13009
27,0.000002,13043
27,0.000001,13077
27,0.000001,13111
27,0.000001,13145
27,0.000001,13179
27,0.000001,13213
27,0.000002,13247
27,0.000002,13281
27,0.000002,13315
27,0.000002,13349
27,0.000001,13383
27,0.000002,13417
27,0.000001,13451
27,0.000003,13485
27,0.000002,13519
-1,0.000002,13527
-1,0.000002,13535
-1,0.000003,13543
-1,0.000001,13551
-1,0.000001,13559
-1,0.000001,13567
-1,0.000001,13575
-1,0.000002,13583
-1,0.000001,13591
-1,0.000001,13599
-1,0.000002,13607
-1,0.000002,13615
-1,0.000001,13623
-1,0.000001,13631
-1,0.000001,13639
-1,0.000001,13647
27,0.000001,13682
27,0.000001,13717
27,0.000002,13752
27,0.000001,13787
27,0.000002,13822
27,0.000002,13857
27,0.000002,13892
27,0.000002,13927
27,0.000002,13962
27,0.000002,13997
27,0.000002,14032
27,0.000002,14067
27,0.000002,14102
27,0.000001,14137
27,0.000002,14172
27,0.000001,14207
26,0.000002,14239
26,0.000001,14271
26,0.000001,14303
26,0.000002,14335
26,0.000003,14367
26,0.000001,14399
26,0.000002,14431
26,0.000001,14463
26,0.000002,14495
26,0.000001,14527
26,0.000002,14559
26,0.000002,14591
26,0.000002,14623
26,0.000002,14655
26,0.000001,14687
26,0.000003,14719
26,0.000001,14751
26,0.000002,14783
26,0.000002,14815
26,0.000002,14847
26,0.000001,14879
26,0.000001,14911
26,0.000002,14943
26,0.000001,14975
26,0.000001,15007
26,0.000001,15039
26,0.000003,15071
26,0.000001,15103
26,0.000001,15135
26,0.000001,15167
