sucesso,tempo,comparacoes
-1,0.000001,-1
-1,0.000002,-1
-1,0.000001,0
-1,0.000001,1
-1,0.000002,3
-1,0.000001,5
-1,0.000001,7
-1,0.000001,9
-1,0.000002,12
-1,0.000001,15
-1,0.000001,18
-1,0.000001,21
-1,0.000002,24
-1,0.000001,27
-1,0.000001,30
-1,0.000001,33
-1,0.000002,37
-1,0.000001,41
-1,0.000001,45
-1,0.000001,49
-1,0.000002,53
-1,0.000001,57
-1,0.000001,61
-1,0.000001,65
-1,0.000001,69
-1,0.000001,73
-1,0.000001,77
-1,0.000001,81
-1,0.000001,85
-1,0.000001,89
-1,0.000001,93
-1,0.000001,97
-1,0.000002,101
-1,0.000001,105
-1,0.000001,109
-1,0.000001,113
-1,0.000001,117
-1,0.000002,122
-1,0.000001,127
-1,0.000001,131
-1,0.000001,135
-1,0.000002,139
-1,0.000001,144
-1,0.000001,148
-1,0.000001,152
-1,0.000002,157
-1,0.000002,162
-1,0.000001,166
-1,0.000001,170
-1,0.000001,175
-1,0.000002,180
-1,0.000001,185
-1,0.000001,190
-1,0.000001,194
-1,0.000002,198
-1,0.000002,203
-1,0.000001,208
-1,0.000001,213
-1,0.000001,218
-1,0.000002,223
-1,0.000001,228
-1,0.000001,233
-1,0.000001,238
-1,0.000002,243
-1,0.000001,248
-1,0.000001,253
-1,0.000001,258
-1,0.000002,263
-1,0.000001,268
-1,0.000001,273
-1,0.000001,278
-1,0.000001,283
-1,0.000002,288
-1,0.000001,293
-1,0.000001,298
-1,0.000001,304
-1,0.000002,310
-1,0.000001,316
-1,0.000001,322
-1,0.000001,327
-1,0.000001,332
-1,0.000001,337
-1,0.000001,342
-1,0.000001,347
-1,0.000001,352
-1,0.000002,358
-1,0.000001,364
-1,0.000001,369
-1,0.000001,374
-1,0.000002,379
-1,0.000001,384
-1,0.000001,390
-1,0.000001,396
-1,0.000001,402
-1,0.000002,408
-1,0.000001,413
-1,0.000001,418
-1,0.000001,423
-1,0.000002,428
-1,0.000001,434
-1,0.000001,440
-1,0.000001,446
-1,0.000002,452
-1,0.000001,458
-1,0.000001,464
-1,0.000001,470
-1,0.000001,476
-1,0.000002,481
-1,0.000001,486
-1,0.000001,491
-1,0.000001,496
-1,0.000002,502
-1,0.000001,508
-1,0.000001,514
-1,0.000001,520
-1,0.000002,526
-1,0.000001,532
-1,0.000001,538
-1,0.000001,544
-1,0.000001,550
-1,0.000001,556
-1,0.000001,562
-1,0.000001,568
-1,0.000001,574
-1,0.000002,580
-1,0.000001,586
-1,0.000001,592
-1,0.000001,598
-1,0.000002,604
-1,0.000001,610
-1,0.000001,616
-1,0.000001,622
-1,0.000002,628
-1,0.000001,634
-1,0.000001,640
-1,0.000001,646
-1,0.000002,652
-1,0.000001,658
-1,0.000001,664
-1,0.000001,670
-1,0.000001,676
-1,0.000001,682
-1,0.000001,688
-1,0.000001,694
-1,0.000001,700
-1,0.000002,706
-1,0.000001,712
-1,0.000001,718
-1,0.000001,724
-1,0.000002,730
-1,0.000001,736
-1,0.000001,743
-1,0.000001,750
-1,0.000002,757
-1,0.000001,764
-1,0.000001,771
-1,0.000001,778
-1,0.000001,785
-1,0.000002,792
-1,0.000001,798
-1,0.000001,804
-1,0.000001,810
-1,0.000002,816
-1,0.000001,822
-1,0.000001,828
-1,0.000001,834
-1,0.000002,840
-1,0.000001,846
-1,0.000001,852
-1,0.000001,858
-1,0.000001,864
-1,0.000002,871
-1,0.000001,878
-1,0.000001,885
-1,0.000001,892
-1,0.000002,898
-1,0.000001,904
-1,0.000001,910
-1,0.000001,916
-1,0.000002,922
-1,0.000001,928
-1,0.000001,934
-1,0.000001,940
-1,0.000001,947
-1,0.000002,954
-1,0.000001,961
-1,0.000001,968
-1,0.000001,975
-1,0.000002,982
-1,0.000001,989
-1,0.000001,996
-1,0.000001,1002
-1,0.000001,1008
-1,0.000002,1014
-1,0.000001,1020
-1,0.000001,1026
-1,0.000001,1032
-1,0.000002,1038
-1,0.000001,1044
-1,0.000001,1051
