sucesso,tempo,comparacoes
-1,0.000002,-1
-1,0.000001,-1
-1,0.000002,0
-1,0.000002,2
-1,0.000001,5
-1,0.000001,9
-1,0.000001,14
-1,0.000002,20
-1,0.000001,27
-1,0.000001,35
-1,0.000001,44
-1,0.000002,54
-1,0.000001,65
-1,0.000001,77
-1,0.000001,90
-1,0.000002,104
-1,0.000001,119
-1,0.000001,135
-1,0.000001,152
-1,0.000002,170
-1,0.000001,189
-1,0.000001,209
-1,0.000001,230
-1,0.000002,252
-1,0.000001,275
-1,0.000001,299
-1,0.000001,324
-1,0.000001,350
27,0.000002,405
27,0.000001,460
27,0.000001,515
27,0.000001,570
27,0.000001,625
27,0.000001,680
27,0.000001,735
27,0.000001,790
27,0.000001,845
27,0.000002,900
27,0.000001,955
27,0.000001,1010
27,0.000001,1065
27,0.000002,1120
27,0.000001,1175
27,0.000001,1230
27,0.000001,1285
27,0.000002,1340
27,0.000001,1395
27,0.000001,1450
27,0.000001,1505
27,0.000001,1560
27,0.000002,1615
27,0.000001,1670
27,0.000001,1725
27,0.000001,1780
27,0.000002,1835
27,0.000001,1890
27,0.000001,1945
27,0.000001,2000
27,0.000002,2055
27,0.000001,2110
27,0.000001,2165
27,0.000001,2220
27,0.000001,2275
27,0.000001,2330
27,0.000001,2385
27,0.000001,2440
27,0.000002,2495
27,0.000001,2550
27,0.000001,2605
27,0.000001,2660
27,0.000001,2715
27,0.000001,2770
27,0.000001,2825
27,0.000001,2880
27,0.000001,2935
27,0.000002,2990
27,0.000001,3045
27,0.000001,3100
27,0.000001,3155
27,0.000002,3210
27,0.000001,3265
27,0.000001,3320
27,0.000001,3375
27,0.000002,3430
27,0.000001,3485
27,0.000001,3540
27,0.000001,3595
27,0.000002,3650
27,0.000001,3705
27,0.000001,3760
27,0.000001,3815
27,0.000002,3870
27,0.000001,3925
27,0.000001,3980
27,0.000001,4035
27,0.000001,4090
27,0.000002,4145
27,0.000001,4200
27,0.000001,4255
27,0.000001,4310
27,0.000002,4365
27,0.000001,4420
27,0.000001,4475
27,0.000001,4530
27,0.000002,4585
27,0.000001,4640
27,0.000001,4695
27,0.000001,4750
27,0.000002,4805
27,0.000001,4860
27,0.000001,4915
27,0.000001,4970
27,0.000001,5025
27,0.000001,5080
27,0.000001,5135
27,0.000001,5190
27,0.000001,5245
27,0.000001,5300
27,0.000001,5355
27,0.000001,5410
27,0.000001,5465
27,0.000002,5520
27,0.000001,5575
27,0.000001,5630
27,0.000001,5685
27,0.000002,5740
27,0.000001,5795
27,0.000001,5850
27,0.000001,5905
27,0.000002,5960
27,0.000001,6015
27,0.000001,6070
27,0.000001,6125
27,0.000002,6180
27,0.000001,6235
27,0.000001,6290
27,0.000001,6345
27,0.000002,6400
27,0.000001,6455
27,0.000001,6510
27,0.000001,6565
27,0.000001,6620
27,0.000001,6675
27,0.000001,6730
27,0.000001,6785
27,0.000001,6840
27,0.000001,6895
27,0.000001,6950
27,0.000001,7005
27,0.000001,7060
27,0.000002,7115
27,0.000001,7170
27,0.000001,7225
27,0.000001,7280
27,0.000002,7335
27,0.000001,7390
27,0.000001,7445
27,0.000001,7500
27,0.000002,7555
27,0.000001,7610
27,0.000001,7665
27,0.000001,7720
27,0.000002,7775
27,0.000001,7830
27,0.000001,7885
27,0.000001,7940
27,0.000001,7995
27,0.000002,8050
27,0.000001,8105
27,0.000001,8160
27,0.000001,8215
27,0.000002,8270
27,0.000001,8325
27,0.000001,8380
27,0.000001,8435
27,0.000002,8490
27,0.000001,8545
27,0.000001,8600
27,0.000001,8655
27,0.000002,8710
27,0.000001,8765
27,0.000001,8820
27,0.000001,8875
27,0.000002,8930
27,0.000001,8985
27,0.000001,9040
27,0.000001,9095
27,0.000001,9150
27,0.000001,9205
27,0.000001,9260
27,0.000001,9315
27,0.000001,9370
27,0.000002,9425
27,0.000001,9480
27,0.000001,9535
27,0.000001,9590
27,0.000002,9645
27,0.000001,9700
27,0.000001,9755
27,0.000001,9810
